id;Datetime stamp;TAG
204093;2018-08-23 13:31:41;TAG#19
204094;2018-08-23 13:31:41;TAG#19
204095;2018-08-23 13:31:42;TAG#19
204096;2018-08-23 13:31:42;TAG#19
204097;2018-08-23 13:31:43;TAG#19
204098;2018-08-23 13:31:44;TAG#19
204099;2018-08-23 13:31:44;TAG#19
204100;2018-08-23 13:31:45;TAG#19
204101;2018-08-23 13:31:45;TAG#19
204102;2018-08-23 13:31:46;TAG#19
204103;2018-08-23 13:31:47;TAG#19
204104;2018-08-23 13:31:47;TAG#19
204105;2018-08-23 13:31:48;TAG#19
204106;2018-08-23 13:31:48;TAG#19
204107;2018-08-23 13:31:49;TAG#19
204108;2018-08-23 13:31:50;TAG#19
204109;2018-08-23 13:31:50;TAG#19
204110;2018-08-23 13:31:51;TAG#19
204111;2018-08-23 13:31:51;TAG#19
204112;2018-08-23 13:31:52;TAG#19
204113;2018-08-23 13:31:53;TAG#19
204114;2018-08-23 13:31:53;TAG#19
204115;2018-08-23 13:31:54;TAG#19
204116;2018-08-23 13:31:54;TAG#19
204117;2018-08-23 13:31:55;TAG#19
204118;2018-08-23 13:31:56;TAG#19
204119;2018-08-23 13:31:56;TAG#19
204120;2018-08-23 13:31:57;TAG#19
204121;2018-08-23 13:31:57;TAG#19
204122;2018-08-23 13:31:58;TAG#19
204123;2018-08-23 13:31:59;TAG#19
204124;2018-08-23 13:31:59;TAG#19
204125;2018-08-23 13:32:00;TAG#19
204126;2018-08-23 13:32:02;TAG#19
204127;2018-08-23 13:32:02;TAG#19
204128;2018-08-23 13:32:03;TAG#19
204129;2018-08-23 13:32:03;TAG#19
204130;2018-08-23 13:32:04;TAG#19
204131;2018-08-23 13:32:05;TAG#19
204132;2018-08-23 13:32:05;TAG#19
204133;2018-08-23 13:32:06;TAG#19
204134;2018-08-23 13:32:06;TAG#19
204135;2018-08-23 13:32:07;TAG#19
204136;2018-08-23 13:32:08;TAG#19
204137;2018-08-23 13:32:08;TAG#19
204138;2018-08-23 13:32:09;TAG#19
204139;2018-08-23 13:32:09;TAG#19
204140;2018-08-23 13:32:10;TAG#19
204141;2018-08-23 13:32:11;TAG#19
204142;2018-08-23 13:32:11;TAG#19
204143;2018-08-23 13:32:12;TAG#19
204144;2018-08-23 13:32:12;TAG#19
204145;2018-08-23 13:32:13;TAG#19
204146;2018-08-23 13:32:14;TAG#19
204147;2018-08-23 13:32:14;TAG#19
204148;2018-08-23 13:32:15;TAG#19
204149;2018-08-23 13:32:15;TAG#19
204150;2018-08-23 13:32:16;TAG#19
204151;2018-08-23 13:32:16;TAG#19
204152;2018-08-23 13:32:17;TAG#19
204153;2018-08-23 13:32:18;TAG#19
204154;2018-08-23 13:32:18;TAG#19
204155;2018-08-23 13:32:19;TAG#19
204156;2018-08-23 13:32:19;TAG#19
204157;2018-08-23 13:32:20;TAG#19
204158;2018-08-23 13:32:21;TAG#19
204159;2018-08-23 13:32:21;TAG#19
204160;2018-08-23 13:32:22;TAG#19
204161;2018-08-23 13:32:22;TAG#19
204162;2018-08-23 13:32:23;TAG#19
204163;2018-08-23 13:32:24;TAG#19
204164;2018-08-23 13:32:24;TAG#19
204165;2018-08-23 13:32:25;TAG#19
204166;2018-08-23 13:32:25;TAG#19
204167;2018-08-23 13:32:26;TAG#19
204168;2018-08-23 13:32:27;TAG#19
204169;2018-08-23 13:32:27;TAG#19
204170;2018-08-23 13:32:28;TAG#19
204171;2018-08-23 13:32:28;TAG#19
204172;2018-08-23 13:32:29;TAG#19
204173;2018-08-23 13:32:30;TAG#19
204174;2018-08-23 13:32:30;TAG#19
204175;2018-08-23 13:32:31;TAG#19
204176;2018-08-23 13:32:31;TAG#19
204177;2018-08-23 13:32:32;TAG#19
204178;2018-08-23 13:32:33;TAG#19
204179;2018-08-23 13:32:33;TAG#19
204180;2018-08-23 13:32:34;TAG#19
204181;2018-08-23 13:32:34;TAG#19
204182;2018-08-23 13:32:35;TAG#19
204183;2018-08-23 13:32:36;TAG#19
204184;2018-08-23 13:32:36;TAG#19
204185;2018-08-23 13:32:37;TAG#19
204186;2018-08-23 13:32:37;TAG#19
204187;2018-08-23 13:32:38;TAG#19
204188;2018-08-23 13:32:39;TAG#19
204189;2018-08-23 13:32:39;TAG#19
204190;2018-08-23 13:32:40;TAG#19
204191;2018-08-23 13:32:40;TAG#19
204192;2018-08-23 13:32:41;TAG#19
204193;2018-08-23 13:32:41;TAG#19
204194;2018-08-23 13:32:42;TAG#19
204195;2018-08-23 13:33:09;TAG#20
204196;2018-08-23 13:33:13;TAG#0
204197;2018-08-23 13:33:14;TAG#0
204198;2018-08-23 13:33:17;TAG#1
204199;2018-08-23 13:33:18;TAG#1
204200;2018-08-23 13:37:58;TAG#2
204201;2018-08-23 13:43:04;TAG#3
204202;2018-08-23 13:43:49;TAG#4
204203;2018-08-23 13:43:49;TAG#4
204204;2018-08-23 13:45:48;TAG#5
204205;2018-08-23 13:45:49;TAG#5
204206;2018-08-23 13:45:49;TAG#5
204207;2018-08-23 13:45:50;TAG#5
204208;2018-08-23 13:50:29;TAG#6
204209;2018-08-23 13:50:29;TAG#6
204210;2018-08-23 13:50:30;TAG#6
204211;2018-08-23 14:04:01;TAG#4
204212;2018-08-23 14:04:01;TAG#4
204213;2018-08-23 14:06:39;TAG#7
204214;2018-08-23 14:06:57;TAG#8
204215;2018-08-23 14:06:58;TAG#8
204216;2018-08-23 14:06:58;TAG#8
204217;2018-08-23 14:06:59;TAG#8
204218;2018-08-23 14:10:17;TAG#9
204219;2018-08-23 14:10:18;TAG#9
204220;2018-08-23 14:10:19;TAG#9
204221;2018-08-23 14:10:32;TAG#10
204222;2018-08-23 14:10:33;TAG#10
204223;2018-08-23 14:12:47;TAG#11
204224;2018-08-23 14:12:47;TAG#11
204225;2018-08-23 14:12:48;TAG#11
204226;2018-08-23 14:13:05;TAG#12
204227;2018-08-23 14:13:06;TAG#12
204228;2018-08-23 14:24:25;TAG#13
204229;2018-08-23 14:24:25;TAG#13
204230;2018-08-23 14:25:16;TAG#14
204231;2018-08-23 14:25:17;TAG#14
204232;2018-08-23 14:25:17;TAG#14
204233;2018-08-23 14:25:18;TAG#14
204234;2018-08-23 14:25:19;TAG#14
204235;2018-08-23 14:25:19;TAG#14
204236;2018-08-23 14:25:20;TAG#14
204237;2018-08-23 14:25:20;TAG#14
204238;2018-08-23 14:25:22;TAG#14
204239;2018-08-23 14:25:22;TAG#14
204240;2018-08-23 14:25:23;TAG#14
204241;2018-08-23 14:25:23;TAG#14
204242;2018-08-23 14:25:24;TAG#14
204243;2018-08-23 14:25:25;TAG#14
204244;2018-08-23 14:25:25;TAG#14
204245;2018-08-23 14:25:26;TAG#14
204246;2018-08-23 14:25:26;TAG#14
204247;2018-08-23 14:25:27;TAG#14
204248;2018-08-23 14:25:38;TAG#14
204249;2018-08-23 14:25:38;TAG#14
204250;2018-08-23 14:25:39;TAG#14
204251;2018-08-23 14:25:40;TAG#14
204252;2018-08-23 14:25:40;TAG#14
204253;2018-08-23 14:25:41;TAG#14
204254;2018-08-23 14:25:41;TAG#14
204255;2018-08-23 14:25:42;TAG#14
204256;2018-08-23 14:25:43;TAG#14
204257;2018-08-23 14:25:43;TAG#14
204258;2018-08-23 14:25:44;TAG#14
204259;2018-08-23 14:25:44;TAG#14
204260;2018-08-23 14:25:45;TAG#14
204261;2018-08-23 14:25:46;TAG#14
204262;2018-08-23 14:25:46;TAG#14
204263;2018-08-23 14:25:47;TAG#14
204264;2018-08-23 14:25:47;TAG#14
204265;2018-08-23 14:25:48;TAG#14
204266;2018-08-23 14:25:48;TAG#14
204267;2018-08-23 14:25:49;TAG#14
204268;2018-08-23 14:25:50;TAG#14
204269;2018-08-23 14:25:50;TAG#14
204270;2018-08-23 14:25:51;TAG#14
204271;2018-08-23 14:25:51;TAG#14
204272;2018-08-23 14:25:52;TAG#14
204273;2018-08-23 14:25:53;TAG#14
204274;2018-08-23 14:25:53;TAG#14
204275;2018-08-23 14:25:54;TAG#14
204276;2018-08-23 14:25:54;TAG#14
204277;2018-08-23 14:25:55;TAG#14
204278;2018-08-23 14:25:56;TAG#14
204279;2018-08-23 14:25:56;TAG#14
204280;2018-08-23 14:25:57;TAG#14
204281;2018-08-23 14:25:57;TAG#14
204282;2018-08-23 14:25:58;TAG#14
204283;2018-08-23 14:25:59;TAG#14
204284;2018-08-23 14:25:59;TAG#14
204285;2018-08-23 14:26:00;TAG#14
204286;2018-08-23 14:26:00;TAG#14
204287;2018-08-23 14:26:01;TAG#14
204288;2018-08-23 14:26:02;TAG#14
204289;2018-08-23 14:26:02;TAG#14
204290;2018-08-23 14:26:03;TAG#14
204291;2018-08-23 14:26:03;TAG#14
204292;2018-08-23 14:26:04;TAG#14
204293;2018-08-23 14:26:04;TAG#14
204294;2018-08-23 14:26:05;TAG#14
204295;2018-08-23 14:26:06;TAG#14
204296;2018-08-23 14:26:06;TAG#14
204297;2018-08-23 14:26:07;TAG#14
204298;2018-08-23 14:26:10;TAG#14
204299;2018-08-23 14:26:12;TAG#14
204300;2018-08-23 14:26:12;TAG#14
204301;2018-08-23 14:26:13;TAG#14
204302;2018-08-23 14:26:13;TAG#14
204303;2018-08-23 14:26:14;TAG#14
204304;2018-08-23 14:26:14;TAG#14
204305;2018-08-23 14:26:15;TAG#14
204306;2018-08-23 14:26:16;TAG#14
204307;2018-08-23 14:26:16;TAG#14
204308;2018-08-23 14:26:17;TAG#14
204309;2018-08-23 14:26:17;TAG#14
204310;2018-08-23 14:26:18;TAG#14
204311;2018-08-23 14:26:19;TAG#14
204312;2018-08-23 14:26:19;TAG#14
204313;2018-08-23 14:26:20;TAG#14
204314;2018-08-23 14:26:20;TAG#14
204315;2018-08-23 14:26:21;TAG#14
204316;2018-08-23 14:26:22;TAG#14
204317;2018-08-23 14:26:22;TAG#14
204318;2018-08-23 14:26:23;TAG#14
204319;2018-08-23 14:26:25;TAG#14
204320;2018-08-23 14:26:25;TAG#14
204321;2018-08-23 14:26:26;TAG#14
204322;2018-08-23 14:26:27;TAG#14
204323;2018-08-23 14:26:27;TAG#14
204324;2018-08-23 14:26:28;TAG#14
204325;2018-08-23 14:26:33;TAG#14
204326;2018-08-23 14:26:33;TAG#14
204327;2018-08-23 14:26:34;TAG#14
204328;2018-08-23 14:26:35;TAG#14
204329;2018-08-23 14:26:35;TAG#14
204330;2018-08-23 14:26:36;TAG#14
204331;2018-08-23 14:26:36;TAG#14
204332;2018-08-23 14:26:37;TAG#14
204333;2018-08-23 14:26:37;TAG#14
204334;2018-08-23 14:26:38;TAG#14
204335;2018-08-23 14:26:39;TAG#14
204336;2018-08-23 14:26:39;TAG#14
204337;2018-08-23 14:26:40;TAG#14
204338;2018-08-23 14:26:40;TAG#14
204339;2018-08-23 14:26:42;TAG#14
204340;2018-08-23 14:26:42;TAG#14
204341;2018-08-23 14:26:43;TAG#14
204342;2018-08-23 14:26:43;TAG#14
204343;2018-08-23 14:26:44;TAG#14
204344;2018-08-23 14:26:45;TAG#14
204345;2018-08-23 14:26:45;TAG#14
204346;2018-08-23 14:26:46;TAG#14
204347;2018-08-23 14:26:46;TAG#14
204348;2018-08-23 14:26:47;TAG#14
204349;2018-08-23 14:26:47;TAG#14
204350;2018-08-23 14:26:48;TAG#14
204351;2018-08-23 14:26:49;TAG#14
204352;2018-08-23 14:26:49;TAG#14
204353;2018-08-23 14:26:50;TAG#14
204354;2018-08-23 14:26:50;TAG#14
204355;2018-08-23 14:26:51;TAG#14
204356;2018-08-23 14:26:52;TAG#14
204357;2018-08-23 14:26:52;TAG#14
204358;2018-08-23 14:26:53;TAG#14
204359;2018-08-23 14:26:54;TAG#14
204360;2018-08-23 14:26:54;TAG#14
204361;2018-08-23 14:26:55;TAG#14
204362;2018-08-23 14:26:55;TAG#14
204363;2018-08-23 14:26:56;TAG#14
204364;2018-08-23 14:26:56;TAG#14
204365;2018-08-23 14:26:57;TAG#14
204366;2018-08-23 14:26:58;TAG#14
204367;2018-08-23 14:26:58;TAG#14
204368;2018-08-23 14:26:59;TAG#14
204369;2018-08-23 14:26:59;TAG#14
204370;2018-08-23 14:27:00;TAG#14
204371;2018-08-23 14:27:01;TAG#14
